291,MTB,M&T Bank Corp.
292,MAC,Macerich
293,M,Macy's Inc.
294,MRO,Marathon Oil Corp.
295,MPC,Marathon Petroleum
296,MAR,Marriott Int'l.
297,MMC,Marsh & McLennan
298,MLM,Martin Marietta Materials
299,MAS,Masco Corp.
300,MA,Mastercard Inc.
301,MAT,Mattel Inc.
302,MKC,McCormick & Co.
303,MCD,McDonald's Corp.
304,MCK,McKesson Corp.
305,MDT,Medtronic plc
306,MRK,Merck & Co.
307,MET,MetLife Inc.
308,MTD,Mettler Toledo
309,MGM,MGM Resorts International
310,KORS,Michael Kors Holdings
311,MCHP,Microchip Technology
312,MU,Micron Technology
313,MSFT,Microsoft Corp.
314,MAA,Mid-America Apartments
315,MHK,Mohawk Industries
316,TAP,Molson Coors Brewing Company
317,MDLZ,Mondelez International
318,MON,Monsanto Co.
319,MNST,Monster Beverage
320,MCO,Moody's Corp
321,MS,Morgan Stanley
322,MSI,Motorola Solutions Inc.
323,MYL,Mylan N.V.
324,NDAQ,"Nasdaq, Inc."
325,NOV,National Oilwell Varco Inc.
326,NAVI,Navient
327,NKTR,Nektar Therapeutics
328,NTAP,NetApp
329,NFLX,Netflix Inc.
330,NWL,Newell Brands
331,NFX,Newfield Exploration Co
332,NEM,Newmont Mining Corporation
333,NWSA,News Corp. Class A
334,NWS,News Corp. Class B
335,NEE,NextEra Energy
336,NLSN,Nielsen Holdings
337,NKE,Nike
338,NI,NiSource Inc.
339,NBL,Noble Energy Inc
340,JWN,Nordstrom
341,NSC,Norfolk Southern Corp.
342,NTRS,Northern Trust Corp.
343,NOC,Northrop Grumman Corp.
344,NCLH,Norwegian Cruise Line
345,NRG,NRG Energy
346,NUE,Nucor Corp.
347,NVDA,Nvidia Corporation
348,ORLY,O'Reilly Automotive
349,OXY,Occidental Petroleum
350,OMC,Omnicom Group
351,OKE,ONEOK
352,ORCL,Oracle Corp.
353,PCAR,PACCAR Inc.
354,PKG,Packaging Corporation of America
355,PH,Parker-Hannifin
356,PAYX,Paychex Inc.
357,PYPL,PayPal
358,PNR,Pentair Ltd.
359,PBCT,People's United Financial
360,PEP,PepsiCo Inc.
361,PKI,PerkinElmer
362,PRGO,Perrigo
363,PFE,Pfizer Inc.
364,PCG,PG&E Corp.
365,PM,Philip Morris International
366,PSX,Phillips 66
367,PNW,Pinnacle West Capital
368,PXD,Pioneer Natural Resources
369,PNC,PNC Financial Services
370,RL,Polo Ralph Lauren Corp.
371,PPG,PPG Industries
372,PPL,PPL Corp.
373,PX,Praxair Inc.
374,PFG,Principal Financial Group
375,PG,Procter & Gamble
376,PGR,Progressive Corp.
377,PLD,Prologis
378,PRU,Prudential Financial
379,PEG,Public Serv. Enterprise Inc.
380,PSA,Public Storage
381,PHM,Pulte Homes Inc.
382,PVH,PVH Corp.
383,QRVO,Qorvo
384,QCOM,QUALCOMM Inc.
385,PWR,Quanta Services Inc.
386,DGX,Quest Diagnostics
387,RRC,Range Resources Corp.
388,RJF,Raymond James Financial Inc.
389,RTN,Raytheon Co.
390,O,Realty Income Corporation
391,RHT,Red Hat Inc.
392,REG,Regency Centers Corporation
393,REGN,Regeneron
394,RF,Regions Financial Corp.
395,RSG,Republic Services Inc
396,RMD,ResMed
397,RHI,Robert Half International
398,ROK,Rockwell Automation Inc.
399,COL,Rockwell Collins
400,ROP,Roper Technologies
401,ROST,Ross Stores
402,RCL,Royal Caribbean Cruises Ltd
403,SPGI,"S&P Global, Inc."
404,CRM,Salesforce.com
405,SBAC,SBA Communications
406,SCG,SCANA Corp
407,SLB,Schlumberger Ltd.
408,STX,Seagate Technology
409,SEE,Sealed Air
410,SRE,Sempra Energy
411,SHW,Sherwin-Williams
412,SPG,Simon Property Group Inc
413,SWKS,Skyworks Solutions
414,SLG,SL Green Realty
415,SNA,Snap-On Inc.
416,SO,Southern Co.
417,LUV,Southwest Airlines
418,SWK,Stanley Black & Decker
419,SBUX,Starbucks Corp.
420,STT,State Street Corp.
421,SRCL,Stericycle Inc
422,SYK,Stryker Corp.
423,STI,SunTrust Banks
424,SIVB,SVB Financial
425,SYMC,Symantec Corp.
426,SYF,Synchrony Financial
427,SNPS,Synopsys Inc.
428,SYY,Sysco Corp.
429,TROW,T. Rowe Price Group
430,TTWO,Take-Two Interactive
431,TPR,"Tapestry, Inc."
432,TGT,Target Corp.
433,TEL,TE Connectivity Ltd.
434,FTI,TechnipFMC
435,TXN,Texas Instruments
436,TXT,Textron Inc.
437,BK,The Bank of New York Mellon Corp.
438,CLX,The Clorox Company
439,COO,The Cooper Companies
440,HSY,The Hershey Company
441,MOS,The Mosaic Company
442,TRV,The Travelers Companies Inc.
443,DIS,The Walt Disney Company
444,TMO,Thermo Fisher Scientific
445,TIF,Tiffany & Co.
446,TWX,Time Warner Inc.
447,TJX,TJX Companies Inc.
448,TMK,Torchmark Corp.
449,TSS,Total System Services
450,TSCO,Tractor Supply Company
451,TDG,TransDigm Group
452,TRIP,TripAdvisor
453,FOXA,Twenty-First Century Fox Class A
454,FOX,Twenty-First Century Fox Class B
455,TSN,Tyson Foods
456,USB,U.S. Bancorp
457,UDR,UDR Inc
458,ULTA,Ulta Beauty
459,UAA,Under Armour Class A
460,UA,Under Armour Class C
461,UNP,Union Pacific
462,UAL,United Continental Holdings
463,UNH,United Health Group Inc.
464,UPS,United Parcel Service
465,URI,"United Rentals, Inc."
466,UTX,United Technologies
467,UHS,"Universal Health Services, Inc."
468,UNM,Unum Group
469,VFC,V.F. Corp.
470,VLO,Valero Energy
471,VAR,Varian Medical Systems
472,VTR,Ventas Inc
473,VRSN,Verisign Inc.
474,VRSK,Verisk Analytics
475,VZ,Verizon Communications
476,VRTX,Vertex Pharmaceuticals Inc
477,VIAB,Viacom Inc.
478,V,Visa Inc.
479,VNO,Vornado Realty Trust
480,VMC,Vulcan Materials
481,WMT,Wal-Mart Stores
482,WBA,Walgreens Boots Alliance
483,WM,Waste Management Inc.
484,WAT,Waters Corporation
485,WEC,Wec Energy Group Inc
486,WFC,Wells Fargo
487,WELL,Welltower Inc.
488,WDC,Western Digital
489,WU,Western Union Co
490,WRK,WestRock Company
491,WY,Weyerhaeuser Corp.
492,WHR,Whirlpool Corp.
493,WMB,Williams Cos.
494,WLTW,Willis Towers Watson
